customer_id;trans_date;tran_amount
CS5295;11-feb-13;35
CS4768;15-mar-15;39
CS2122;26-feb-13;52
CS1217;16-nov-11;99
CS1850;20-nov-13;78
CS5539;26-mar-14;81
CS2724;6-feb-12;93
CS5902;30-ene-15;89
CS6040;8-ene-13;76
CS3802;20-ago-13;75
CS3494;2-jul-13;94
CS3780;25-mar-13;80
CS1171;3-nov-12;59
CS2892;12-may-13;43
CS5552;29-dic-14;78
CS6043;15-ene-14;98
CS4147;8-jul-13;81
CS4655;30-dic-13;93
CS3904;20-jul-14;103
CS4102;9-jul-11;96
CS2086;5-mar-13;75
CS6085;9-ene-13;49
CS1328;6-feb-13;54
CS4564;27-mar-12;48
CS5910;1-ene-12;98
CS2748;23-mar-13;37
CS5147;29-abr-13;72
CS1770;2-nov-12;83
CS3510;24-oct-11;81
CS2509;5-dic-11;105
CS2859;27-feb-15;77
CS1512;21-feb-15;71
CS4148;22-ago-13;48
CS1735;31-mar-12;70
CS1588;27-ene-12;70
CS5514;9-ene-13;36
CS5933;7-oct-13;48
CS2797;6-mar-14;87
CS5313;2-dic-12;88
CS5966;9-mar-12;39
CS5211;18-may-14;51
CS1511;13-ene-15;47
CS6087;24-nov-14;37
CS5909;4-feb-12;80
CS2845;8-mar-13;105
CS1433;5-nov-12;78
CS4897;12-abr-14;45
CS2296;28-dic-12;79
CS1494;29-jun-13;59
CS3688;19-jun-14;55
CS2287;23-dic-11;94
CS3779;26-jun-11;69
CS1423;5-jun-14;78
CS2501;14-nov-12;59
CS3434;22-feb-13;98
CS2662;31-ago-14;88
CS2209;12-mar-12;35
CS4530;5-jun-11;40
CS2848;4-feb-13;53
CS2596;19-sep-11;55
CS4421;20-may-12;86
CS4905;13-abr-12;93
CS5704;4-dic-11;79
CS2403;27-jul-14;94
CS5480;28-ene-12;63
CS5811;23-ago-13;91
CS2051;9-dic-14;101
CS3957;30-ago-12;69
CS4704;25-nov-14;41
CS2289;19-may-12;67
CS5218;21-jun-14;45
CS4637;20-may-11;71
CS3158;6-may-12;91
CS4176;30-jul-12;49
CS1939;25-nov-11;101
CS5403;1-dic-11;64
CS5489;2-dic-14;77
CS4563;30-may-11;101
CS3508;23-may-12;67
CS2703;12-oct-14;40
CS2596;1-may-13;76
CS5990;19-oct-12;103
CS4215;9-jul-11;54
CS4811;26-ene-12;77
CS2070;30-ene-13;41
CS3419;29-ene-15;38
CS3668;14-ago-14;102
CS4623;27-sep-13;89
CS4708;2-jul-13;48
CS1816;22-sep-13;64
CS5376;8-dic-13;44
CS4568;15-nov-11;70
CS1779;27-ene-12;53
CS2447;10-jul-11;82
CS1985;16-ago-11;87
CS2544;7-nov-11;64
CS2158;11-sep-12;89
CS5776;9-sep-14;87
CS5653;4-sep-13;98
CS2291;15-oct-14;67
CS6088;29-oct-12;48
CS4245;2-jun-14;102
CS3344;2-jul-14;56
CS1481;23-dic-13;50
CS5400;23-dic-11;56
CS5463;27-ago-14;91
CS5951;7-ago-14;104
CS5515;19-feb-12;41
CS3039;1-may-12;92
CS1836;24-mar-12;63
CS4320;9-abr-14;52
CS4889;1-dic-11;38
CS1319;26-sep-11;95
CS4859;7-ene-15;50
CS4148;8-feb-14;40
CS5264;3-abr-13;81
CS4041;29-dic-14;49
CS2183;4-ene-13;39
CS2516;15-feb-15;55
CS1890;3-nov-12;37
CS3730;11-feb-13;89
CS5382;7-mar-13;48
CS5970;13-jun-14;40
CS5260;30-ene-15;46
CS2437;13-nov-11;90
CS4675;11-sep-11;67
CS2920;11-oct-11;87
CS2548;28-sep-13;73
CS1818;26-dic-11;46
CS6098;28-sep-12;42
CS2712;26-dic-11;65
CS2714;14-dic-11;69
CS2615;17-ago-13;39
CS5445;27-jul-14;72
CS5812;2-nov-14;62
CS4636;22-sep-13;66
CS3147;4-jun-14;84
CS1273;1-feb-12;91
CS4243;11-nov-11;48
CS2357;13-abr-12;71
CS1776;3-may-14;79
CS5643;2-mar-13;104
CS4522;6-mar-15;82
CS2418;1-feb-15;51
CS1330;21-nov-14;41
CS1195;29-dic-14;83
CS4306;7-mar-15;54
CS2137;29-sep-13;73
CS3518;19-jun-13;54
CS5835;18-sep-11;52
CS4701;15-ene-15;95
CS4548;28-jun-12;38
CS2384;15-oct-12;35
CS4081;17-feb-13;74
CS5976;2-ene-12;99
CS3874;8-sep-11;44
CS5356;17-jun-14;105
CS4667;17-sep-14;66
CS4328;4-jun-12;56
CS3291;2-ago-13;42
CS4282;11-sep-11;44
CS4331;25-sep-11;70
CS1243;17-mar-13;36
CS2390;20-may-14;104
CS2207;5-abr-14;71
CS1270;18-nov-11;104
CS1219;11-nov-14;91
CS5427;13-nov-12;96
CS5474;18-may-11;69
CS5109;23-may-12;92
CS5287;14-mar-15;94
CS3477;5-may-13;80
CS3970;13-dic-11;86
CS5760;8-dic-11;59
CS2149;4-abr-13;83
CS4934;19-jul-14;80
CS1517;18-oct-13;89
CS1641;29-dic-12;64
CS2187;19-nov-11;70
CS5359;12-ago-14;96
CS3124;8-dic-11;71
CS1721;30-ago-12;96
CS5212;22-ene-15;42
CS5111;23-ago-11;81
CS3137;4-abr-12;67
CS1511;25-ene-15;69
CS2509;23-feb-14;92
CS5994;11-ene-14;42
CS2613;25-ago-13;103
CS1934;18-ago-14;89
CS3127;2-oct-11;39
CS5225;18-mar-14;104
CS1815;17-nov-12;83
CS3552;27-abr-14;102
CS1893;17-nov-13;42
CS3621;26-oct-13;56
CS4330;17-jul-13;59
CS4991;20-jul-13;90
CS2312;22-oct-13;37
CS2359;4-jun-12;90
CS4798;6-dic-12;84
CS2507;28-jun-12;94
CS1430;2-sep-14;71
CS3787;23-oct-13;48
CS4103;14-abr-13;89
CS2881;24-sep-12;54
